id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
287424,Maggie,"Horror,Drama,Mystery",en,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",19.859,2015-05-08,5.4,1398
113160,My First Time,"Drama,Romance",fr,"Zachary is 20 years old. Dark and independent, he collects amorous conquests and school failure. Sarah is 18 years old. First class, fragile, she fills her emotional gaps with perfect control of his life. Nothing should close and yet, the year of the tank, for six months, they will live a love against which nothing can be, the true, the big one that marks a life forever.",5.705,2012-01-18,6.6,509
11802,Space Chimps,"Animation,Family,Adventure,Comedy,Science Fiction",en,Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.,15.505,2008-06-25,4.8,363
24748,Hud,"Western,Drama",en,"Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. There is bitter conflict between the callous Hud and his stern and highly principled father, Homer. Hud's nephew Lon admires Hud's cheating ways, though he soon becomes too aware of Hud's reckless amorality to bear him anymore. In the world of the takers and the taken, Hud is a winner. He's a cheat, but, he explains, ""I always say the law was meant to be interpreted in a lenient manner.""",9.427,1963-05-28,7.3,216
343611,Jack Reacher: Never Go Back,"Action,Thriller",en,"When Major Susan Turner is arrested for treason, ex-investigator Jack Reacher undertakes the challenging task to prove her innocence and ends up exposing a shocking conspiracy.",69.414,2016-10-19,5.9,4076
477489,Just a Breath Away,"Drama,Science Fiction,Thriller",fr,"When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.",13.394,2018-04-04,6.3,654
49787,The Reef,"Drama,Horror,Thriller",en,A great white shark hunts the crew of a capsized sailboat along the Great Barrier Reef.,10.505,2010-05-15,5.7,443
3175,Barry Lyndon,"Drama,Romance,War",en,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",13.443,1975-11-26,8.0,2243
10476,Hustle & Flow,"Music,Drama",en,"With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",11.496,2005-07-22,7.1,289
284303,Goodnight Mommy,"Drama,Horror,Thriller,Mystery",de,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.",31.334,2014-10-07,6.7,1255
645788,The Protégé,"Action,Thriller",en,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",78.419,2021-08-19,6.6,657
14140,Herbie Goes to Monte Carlo,"Romance,Comedy,Family,Action,Adventure",en,"Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. But thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back.",9.198,1977-06-24,5.9,254
395993,Stronger,Drama,en,A victim of the Boston Marathon bombing in 2013 helps the police track down the killers while struggling to recover from devastating trauma.,17.335,2017-09-22,7.0,1271
27958,Cruising,"Crime,Mystery,Thriller,Horror",en,"A serial killer brutally slays and dismembers several gay men in New York's S&M and leather districts. The young police officer Steve Burns is sent undercover onto the streets as a decoy for the murderer. Working almost completely isolated from his department, he has to learn and practice the complex rules and signals of this little society.",12.041,1980-02-15,6.5,355
568160,Weathering with You,"Animation,Drama,Fantasy,Romance",ja,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",120.378,2019-06-19,8.1,1512
